Epoch 99 | Train Loss : 10.6809 | Val Loss : 11.9569
Epoch 100 | Train Loss : 10.7023 | Val Loss : 11.9788
Epoch 101 | Train Loss : 10.7101 | Val Loss : 11.9988
Epoch 102 | Train Loss : 10.7326 | Val Loss : 11.8433
Epoch 103 | Train Loss : 10.7269 | Val Loss : 11.8509
Epoch 104 | Train Loss : 10.6927 | Val Loss : 11.8233
Epoch 105 | Train Loss : 10.6486 | Val Loss : 11.8462
Epoch 106 | Train Loss : 10.6396 | Val Loss : 11.7904
Epoch 107 | Train Loss : 10.5156 | Val Loss : 11.8715
Epoch 108 | Train Loss : 10.5855 | Val Loss : 11.7048
Epoch 109 | Train Loss : 10.6498 | Val Loss : 11.6634
Epoch 110 | Train Loss : 10.5999 | Val Loss : 11.6245
Epoch 111 | Train Loss : 10.4789 | Val Loss : 11.7959
Epoch 112 | Train Loss : 10.6394 | Val Loss : 11.6129
Epoch 113 | Train Loss : 10.5606 | Val Loss : 11.5168
Epoch 114 | Train Loss : 10.5619 | Val Loss : 11.6574
Epoch 115 | Train Loss : 10.4434 | Val Loss : 11.5785
Epoch 116 | Train Loss : 10.4049 | Val Loss : 11.6517
Epoch 117 | Train Loss : 10.4362 | Val Loss : 11.5266
Epoch 118 | Train Loss : 10.3533 | Val Loss : 11.6042
Epoch 119 | Train Loss : 10.4551 | Val Loss : 11.4450
Epoch 120 | Train Loss : 10.4079 | Val Loss : 11.4857
Epoch 121 | Train Loss : 10.2805 | Val Loss : 11.3573
Epoch 122 | Train Loss : 10.2585 | Val Loss : 11.3188
Epoch 123 | Train Loss : 10.2839 | Val Loss : 11.2990
Epoch 124 | Train Loss : 10.1674 | Val Loss : 11.2897
Epoch 125 | Train Loss : 10.1365 | Val Loss : 11.3065
Epoch 126 | Train Loss : 10.1772 | Val Loss : 11.2873
Epoch 127 | Train Loss : 10.1946 | Val Loss : 11.2710
